Country,TotalLibrarySize,NoofTVShows,NoofMovies,CostPerMonthBasic,CostPerMonthStandard,CostPerMonthPremium
Czechia,7325,5234,2091,8.83,11.49,14.15
Slovakia,7035,5055,1980,9.03,11.29,13.54
Hungary,6884,4802,2082,7.64,10.71,13.78
Bulgaria,6797,4819,1978,9.03,11.29,13.54
United Kingdom,6643,4551,2092,7.91,13.2,18.48
Ireland,6486,4515,1971,9.03,14.67,20.32
Lithuania,6462,4490,1972,9.03,11.29,13.54
Estonia,6456,4486,1970,9.03,11.29,13.54
Latvia,6450,4479,1971,9.03,11.29,13.54
Iceland,6387,4426,1961,9.03,14.67,20.32
Philippines,6362,4154,2208,7.35,9.14,10.93
Singapore,6303,4109,2194,9.51,12.81,16.11
Canada,6239,4311,1928,7.91,11.87,15.03
Gibraltar,6167,4079,2088,9.03,14.67,20.32
Australia,6114,4050,2064,7.84,12.12,16.39
